review_id,order_id,customer_id,product_id,platform_id,review_text,review_timestamp,rating,verified_purchase,refunded_product,is_fraud
R00204,ORD00088,C0186,P0010,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-06-05 00:00:00,2,True,False,0
R00267,ORD00139,C0004,P0002,1,Sony WH-1000XM4. One side fails to work,2023-09-23 00:00:00,1,True,False,0
R00153,ORD00077,C0040,P0007,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-11-26 00:00:00,4,True,False,0
R00024,ORD00200,C0153,P0002,1,BEST PRODUCT EVER!!! BUY NOW!!!,2023-10-01 00:00:00,5,False,True,1
R00234,ORD00025,C0044,P0006,1,JBL Live 660NC. Color fades quickly Sound imbalance,2023-10-17 00:00:00,2,True,False,0
R00227,ORD00038,C0127,P0009,1,Boat Rockerz 550. Windows 10 connection issues,2023-10-17 00:00:00,2,False,False,0
R00197,ORD00241,C0031,P0006,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-12-04 00:00:00,3,True,False,0
R00127,ORD00109,C0207,P0005,1,Sennheiser Momentum 4. Great for calls and music Comfortable for long usage,2023-08-29 00:00:00,4,True,False,0
R00004,ORD00260,C0059,P0010,1,WOW!!! MUST BUY!!!,2023-08-23 00:00:00,5,False,False,1
R00176,ORD00152,C0093,P0009,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-06-11 00:00:00,3,True,False,0
R00238,ORD00164,C0115,P0003,1,Bose QuietComfort 45. Windows 10 connection issues One side fails to work Battery drains quickly Not available in different colors,2023-09-30 00:00:00,1,False,False,0
R00075,ORD00237,C0041,P0007,1,Beats Studio3 Wireless. Sound quality is crisp with good bass Comfortable for long usage Worth the price Type C charging is a plus,2023-11-08 00:00:00,5,True,False,0
R00219,ORD00128,C0104,P0002,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-08-17 00:00:00,3,True,False,0
R00063,ORD00039,C0137,P0006,1,JBL Live 660NC. Sound quality is crisp with good bass Water / sweat resistant,2023-11-24 00:00:00,5,True,False,0
R00183,ORD00045,C0045,P0002,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-07-11 00:00:00,3,True,False,0
R00222,ORD00233,C0129,P0010,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-12-11 00:00:00,4,True,False,0
R00290,ORD00089,C0075,P0002,1,Sony WH-1000XM4. Not available in different colors Color fades quickly Sound imbalance,2023-07-01 00:00:00,3,True,False,0
R00212,ORD00212,C0163,P0006,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-11-15 00:00:00,3,True,False,0
R00149,ORD00022,C0135,P0007,1,Beats Studio3 Wireless. Water / sweat resistant Type C charging is a plus Worth the price Great for calls and music,2023-06-16 00:00:00,4,True,False,0
R00166,ORD00155,C0178,P0006,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-06-29 00:00:00,2,True,False,0
R00096,ORD00218,C0012,P0002,1,Sony WH-1000XM4. Great for calls and music Battery lasts all day Type C charging is a plus,2023-09-07 00:00:00,4,True,False,0
R00131,ORD00175,C0032,P0009,1,Boat Rockerz 550. Amazing color options Type C charging is a plus,2023-12-16 00:00:00,5,True,False,0
R00250,ORD00031,C0105,P0009,1,Boat Rockerz 550. Sound imbalance Color fades quickly Not available in different colors Windows 10 connection issues One side fails to work,2023-07-30 00:00:00,1,False,True,0
R00251,ORD00078,C0155,P0003,1,Bose QuietComfort 45. One side fails to work,2023-06-16 00:00:00,3,True,False,0
R00122,ORD00059,C0085,P0006,1,JBL Live 660NC. Water / sweat resistant Great for calls and music Battery lasts all day Comfortable for long usage Amazing color options,2023-09-25 00:00:00,5,True,False,0
R00060,ORD00061,C0112,P0005,1,Good product,2023-11-06 00:00:00,4,False,False,0
R00282,ORD00013,C0072,P0007,1,Beats Studio3 Wireless. Sound imbalance Battery drains quickly Windows 10 connection issues Color fades quickly,2023-12-04 00:00:00,1,False,False,0
R00296,ORD00254,C0186,P0009,1,Boat Rockerz 550. Not available in different colors Sound imbalance Color fades quickly One side fails to work Battery drains quickly,2023-06-11 00:00:00,3,False,False,0
R00158,ORD00085,C0089,P0005,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-08-12 00:00:00,4,True,False,0
R00239,ORD00116,C0191,P0006,1,JBL Live 660NC. Color fades quickly One side fails to work Windows 10 connection issues,2023-09-15 00:00:00,1,True,False,0
R00035,ORD00065,C0064,P0005,1,,2023-07-26 00:00:00,1,False,False,0
R00165,ORD00041,C0112,P0007,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-12-16 00:00:00,2,True,False,0
R00051,ORD00177,C0057,P0003,1,,2023-11-27 00:00:00,5,True,False,0
R00042,ORD00186,C0101,P0005,1,Good product,2023-09-20 00:00:00,4,False,False,0
R00216,ORD00253,C0164,P0006,1,OnePlus Buds Pro 2. Type C charging is a plus,2023-12-05 00:00:00,2,True,False,0
R00137,ORD00221,C0078,P0009,1,Boat Rockerz 550. Type C charging is a plus Water / sweat resistant,2023-10-07 00:00:00,4,True,False,0
R00005,ORD00152,C0093,P0009,1,AMAZING AMAZING AMAZING!!!,2023-09-16 00:00:00,4,False,False,1
R00108,ORD00253,C0164,P0006,1,JBL Live 660NC. Comfortable for long usage,2023-10-16 00:00:00,4,True,False,0
R00064,ORD00150,C0184,P0010,1,OnePlus Buds Pro 2. Water / sweat resistant,2023-11-28 00:00:00,5,True,False,0
R00091,ORD00015,C0080,P0003,1,Bose QuietComfort 45. Amazing color options,2023-08-15 00:00:00,4,True,False,0
R00111,ORD00186,C0101,P0005,1,Sennheiser Momentum 4. Amazing color options,2023-06-16 00:00:00,5,True,False,0
R00094,ORD00255,C0167,P0010,1,OnePlus Buds Pro 2. Type C charging is a plus Comfortable for long usage Water / sweat resistant Great for calls and music Amazing color options,2023-11-18 00:00:00,5,True,True,0
R00287,ORD00102,C0135,P0006,1,JBL Live 660NC. Not available in different colors Windows 10 connection issues Color fades quickly Sound imbalance,2023-08-11 00:00:00,3,True,False,0
R00078,ORD00008,C0130,P0001,1,Sony WH-1000XM5. Battery lasts all day Sound quality is crisp with good bass Comfortable for long usage Great for calls and music Water / sweat resistant,2023-11-13 00:00:00,4,True,False,0
